iter	Passed	Remaining
0	143	143405
1	144	72121
2	145	48342
3	146	36468
4	147	29378
5	149	24777
6	152	21686
7	153	19062
8	154	17027
9	155	15399
10	156	14085
11	157	12998
12	158	12057
13	159	11240
14	160	10531
15	161	9941
16	163	9443
17	166	9071
18	167	8644
19	168	8259
20	169	7903
21	170	7581
22	171	7302
23	172	7034
24	173	6780
25	174	6550
26	175	6331
27	177	6147
28	179	5995
29	180	5845
30	181	5682
31	182	5533
32	183	5390
33	184	5254
34	186	5134
35	187	5013
36	188	4895
37	188	4782
38	189	4674
39	190	4575
40	192	4504
41	194	4440
42	196	4366
43	197	4288
44	198	4210
45	199	4134
46	200	4059
47	201	3992
48	202	3928
49	203	3865
50	204	3805
51	205	3750
52	207	3704
53	208	3658
54	210	3620
55	211	3569
56	212	3519
57	213	3469
58	214	3424
59	215	3380
60	216	3335
61	217	3291
62	218	3247
63	219	3205
64	220	3169
65	222	3155
66	225	3135
67	226	3100
68	227	3064
69	228	3033
70	229	3002
71	230	2972
72	231	2940
73	232	2909
74	233	2877
75	234	2846
76	235	2822
77	237	2807
78	239	2787
79	240	2769
80	241	2745
81	243	2720
82	243	2689
83	244	2666
84	245	2643
85	246	2620
86	247	2599
87	248	2575
88	249	2552
89	251	2539
90	252	2525
91	255	2517
92	256	2499
93	257	2478
94	258	2458
95	259	2439
96	260	2422
97	261	2403
98	261	2383
99	262	2364
100	263	2345
101	264	2327
102	265	2313
103	267	2300
104	268	2287
105	269	2276
106	271	2263
107	272	2250
108	273	2237
109	274	2221
110	275	2206
111	276	2194
112	278	2184
113	279	2175
114	281	2168
115	284	2165
116	285	2155
117	286	2141
118	287	2127
119	288	2113
120	289	2101
121	291	2095
122	292	2084
123	293	2071
124	294	2061
125	298	2072
126	299	2061
127	300	2050
128	302	2040
129	303	2032
130	304	2022
131	305	2010
132	306	1999
133	307	1988
134	308	1978
135	311	1980
136	313	1977
137	316	1977
138	317	1968
139	318	1959
140	319	1949
141	321	1939
142	322	1932
143	323	1924
144	325	1918
145	326	1912
146	329	1912
147	330	1904
148	331	1895
149	332	1885
150	334	1878
151	335	1873
152	336	1865
153	338	1856
154	339	1851
155	342	1850
156	343	1843
157	344	1834
158	345	1829
159	347	1823
160	348	1813
161	349	1806
162	350	1798
163	351	1793
164	353	1789
165	355	1784
166	357	1781
167	359	1781
168	360	1774
169	361	1766
170	362	1758
171	363	1751
172	365	1745
173	366	1739
174	368	1735
175	372	1743
176	374	1742
177	376	1737
178	377	1732
179	379	1727
180	380	1721
181	381	1714
182	383	1710
183	385	1708
184	386	1704
185	387	1697
186	389	1693
187	390	1686
188	391	1680
189	392	1673
190	393	1666
191	398	1679
192	400	1676
193	402	1672
194	403	1666
195	404	1659
196	405	1653
197	406	1647
198	408	1645
199	410	1641
200	411	1634
201	413	1635
202	415	1632
203	417	1629
204	418	1624
205	419	1618
206	420	1611
207	421	1605
208	422	1599
209	423	1593
210	424	1587
211	425	1582
212	427	1577
213	428	1574
214	430	1570
215	431	1565
216	432	1559
217	433	1554
218	434	1549
219	435	1544
220	436	1538
221	437	1532
222	438	1527
223	439	1521
224	440	1516
225	441	1510
226	442	1506
227	443	1502
228	445	1499
229	447	1497
230	448	1494
231	450	1489
232	451	1484
233	452	1480
234	453	1474
235	453	1469
236	454	1463
237	455	1458
238	457	1455
239	459	1454
240	460	1451
241	462	1449
242	464	1446
243	465	1441
244	466	1436
245	467	1432
246	468	1428
247	469	1423
248	470	1419
249	472	1416
250	473	1413
251	475	1410
252	476	1407
253	477	1402
254	479	1402
255	481	1398
256	482	1394
257	483	1389
258	484	1384
259	484	1380
260	485	1375
261	487	1372
262	488	1369
263	490	1367
264	492	1364
265	493	1361
266	494	1357
267	495	1352
268	496	1348
269	497	1344
270	498	1340
271	499	1335
272	500	1331
273	501	1329
274	503	1327
275	505	1325
276	507	1324
277	508	1321
278	509	1317
279	510	1313
280	511	1309
281	512	1305
282	513	1301
283	514	1297
284	515	1293
285	517	1290
286	519	1291
287	521	1289
288	523	1288
289	525	1285
290	526	1283
291	527	1279
292	528	1276
293	529	1272
294	531	1269
295	532	1267
296	534	1265
297	536	1264
298	538	1261
299	539	1257
300	540	1254
301	541	1251
302	542	1247
303	543	1244
304	544	1241
305	546	1239
306	547	1236
307	549	1235
308	552	1235
309	553	1232
310	554	1228
311	555	1224
312	557	1224
313	559	1221
314	560	1218
315	561	1215
316	563	1213
317	565	1211
318	566	1210
319	568	1207
320	569	1203
321	570	1201
322	571	1198
323	572	1195
324	574	1192
325	575	1190
326	577	1187
327	578	1185
328	580	1183
329	582	1183
330	584	1180
331	585	1177
332	586	1173
333	587	1170
334	588	1169
335	590	1167
336	592	1165
337	594	1164
338	595	1161
339	596	1158
340	597	1154
341	598	1151
342	599	1148
343	601	1146
344	602	1143
345	603	1139
346	604	1137
347	605	1135
348	607	1133
349	609	1131
350	610	1128
351	611	1126
352	613	1124
353	614	1121
354	615	1118
355	616	1115
356	619	1115
357	620	1113
358	622	1111
359	624	1109
360	625	1107
361	626	1104
362	627	1101
363	628	1098
364	630	1096
365	630	1092
366	631	1089
367	633	1087
368	634	1085
369	636	1083
370	637	1081
371	638	1078
372	639	1075
373	640	1072
374	641	1069
375	642	1067
376	643	1064
377	644	1061
378	645	1058
379	651	1063
380	653	1062
381	655	1059
382	656	1057
383	658	1055
384	659	1053
385	664	1056
386	665	1054
387	668	1054
388	669	1052
389	671	1049
390	672	1047
391	673	1044
392	675	1042
393	676	1040
394	679	1040
395	681	1039
396	683	1037
397	684	1035
398	685	1033
399	687	1031
400	688	1029
401	690	1026
402	691	1024
403	693	1022
404	695	1021
405	697	1020
406	698	1018
407	700	1015
408	701	1013
409	703	1012
410	705	1010
411	706	1008
412	708	1006
413	709	1004
414	711	1002
415	713	1001
416	714	999
417	715	996
418	717	994
419	719	993
420	720	990
421	721	987
422	722	985
423	724	984
424	726	983
425	728	981
426	730	980
427	732	978
428	733	975
429	735	974
430	736	972
431	738	970
432	740	969
433	742	968
434	743	965
435	744	962
436	745	959
437	746	957
438	748	955
439	748	953
440	749	950
441	752	950
442	754	948
443	756	947
444	757	945
445	759	942
446	760	940
447	761	938
448	762	936
449	764	933
450	765	931
451	766	929
452	768	927
453	769	925
454	771	923
455	772	921
456	773	919
457	774	916
458	775	914
459	776	911
460	777	909
461	779	907
462	780	905
463	782	903
464	783	901
465	785	899
466	786	897
467	787	894
468	788	893
469	790	891
470	793	890
471	794	888
472	795	886
473	796	884
474	799	883
475	800	881
476	802	879
477	803	877
478	805	875
479	805	873
480	806	870
481	808	868
482	808	865
483	810	863
484	811	861
485	812	859
486	814	857
487	814	855
488	815	852
489	816	850
490	817	847
491	818	845
492	820	843
493	821	840
494	822	838
495	822	836
